card_id,code_sha256
aerial-cactus-identification__b002addebe6441f4ae859e1e328197c1,bdc13b29766992db660729fbdfe268f910a6d4115a0175cd2b925c0f25d15ecc
aptos2019-blindness-detection__03d7a602469149e8b9746b2063d90ccd,a11397164511f6bdd1f1bd92ae07d56967a13d14f52d02e4c0c349755763b6af
aptos2019-blindness-detection__044427099a514d8aa845913a420376e5,08b67507b53f00bea76a46fb39cea6a5e2d4ed23f3d7f5d4a375daf271b36687
aptos2019-blindness-detection__0832cd37204348febb7b45c602c8ccbc,47a4d6c4fe41ed2f2fda303899010221b2c2ab800c3faf8a390f64aeb8d8802e
aptos2019-blindness-detection__0a8ba07d041f4d96838b8806ea47d555,5ecb17892b54bfbc1ed934101cc3c4aed594e215fd3019833336cbd8a5184f85
aptos2019-blindness-detection__0b9052b7e7174911a4d9fde5230db891,673b1adbfac66c611adbcff57481315c40f96e0816ef2bc0a8fa0dc6ef56b607
aptos2019-blindness-detection__0c61c5bf63074608ba5807e0968bf064,784ef780cbf50e2acad7c7fafe14b26a4681d6993b47d6ff6f6ce28e6bf63596
aptos2019-blindness-detection__0e871f0e94c24392ad8abc8619aeb8ff,5f82642052191bd6a46adefe90147554bf0ea568d6d53b4f3807eed00dfe7939
aptos2019-blindness-detection__0f280e733f534de796b24d599f582c75,f16c243a88860782008163e7f4dab43a0dfeda7c49ca475247d050e43f2c3995
aptos2019-blindness-detection__108e578cb82f4500bd72b4560595279a,03ddcf8c5db977ffd4113c741552937808455a97b684e0512d84c967f977b4f6
aptos2019-blindness-detection__10f5abc13e41466bb2a4da45ae2cb325,2a0ca97c9cbd7b7c1e6685d2f0f7a4fedced81243e6fea9f87ed97c791e790f5
aptos2019-blindness-detection__116e5dcdfe86493c9193363159176d56,49b085ae8e24ecd8497c29970a76dec8f9fd554e55e9f7c505d4a14eee122071
aptos2019-blindness-detection__140c27c2e4b341c9b03f51ea22699acf,21a72c06be668dc08ee560a6ef7469f0b814089dc6c3f343796d16bd46350e80
aptos2019-blindness-detection__18d6cab15e1a439c9f3bd51eb60250f5,41f654797a6e1938bf6a21f916e2e9878b01e2b075b5a3c257d023e95a70f361
aptos2019-blindness-detection__19fcb80af9b5451d908cb9b88467a4b5,10c74a371d265f42edc835ba9d631a3b94f104d5a6d175b119354106bfe3cc9b
aptos2019-blindness-detection__1d51bf57f34c451ea98e5a156f12e815,774c42d6bb2c63e25326096baf09a1d2170d4617fcb44d0f7b0ea4dd7992c65c
aptos2019-blindness-detection__1e8f9b08dcd449b89546014447c51001,2959c5c2ef0946abbbf3d192e7115ff0aecbc10d6509aa8a26297ea2b98a0852
aptos2019-blindness-detection__1f01285733744c018044b2b212ca6925,bf7de8a2ac4bfd792be336ec94bf34ae28dc685306b7f13700e4af4b2a28c00a
aptos2019-blindness-detection__1f32aab145954ed082ab54f6132ad974,62ed8fb775307eee88794a337d3585cf5af36dfc5dbd55967a50cdd428479dfa
aptos2019-blindness-detection__1f9de57b98504d6c8524ec22b90fbacb,84a386a1eb0515943bf50ba32e86e016f96036f652c7418096efeafed9129018
aptos2019-blindness-detection__21115182d7e84c87b4ac30f86564e5c0,d00a1f109e6126830c5c7be2695ef44275b51495d1b99415811c69a7f487c724
aptos2019-blindness-detection__21540a1e29984f6189775cc86aa68a72,6a735bd5e43359370d34d9689111b24ad4af539862242c38be63e3890cf3fe53
aptos2019-blindness-detection__21ae5e4b86694abc8289e9e59853234e,245884edf50fed0fc0c92126f7fe85c7d8410fc728eee6d93f0631c21232c800
aptos2019-blindness-detection__25da98f8eb8f4c53b214c941d3e1a0ec,cb80ad791b2a946088d16ec3580c072b80804176dc563337b1a275daf6baeb94
aptos2019-blindness-detection__276032c2bf774cd59a247f3960e101d6,bbebfb8fdadbb3e771002e7969f26e04ff0833fe004365e029d5570a6d91243f
aptos2019-blindness-detection__2928fc16fcb9449e93a1fe257b67a335,dde765a57cb02ec0b42b98eefea49b5d08fd9fbda24f0f88b08cbfc326144aea
aptos2019-blindness-detection__2ab53c1b07b6494c9d21273e93221986,cb7d4e6c68d9aab027727d24140dc61d7f9d8aca480381d0b1b82d920b903747
aptos2019-blindness-detection__2aef8c96211d42ff9762f058db2fa1d9,16b054d96846ee1b607b485a1a9c98184103fb04d2d0dd5ec9c23a04ca065581
aptos2019-blindness-detection__2c89cceb288e4de88865355f992b3b89,17a7864c8f558ed776b41c58123b75c27811cb3da0085cfaea96a03958b1a3e0
aptos2019-blindness-detection__2f83c438228d441c9250acad242c0bbf,141a526efd881cfab1b6d0e78854e1a1351f7d7c9b9b92f040979f08494d5d1b
aptos2019-blindness-detection__2ff7e0c613b2426c9c73a3b16640b631,db333b7605d5799ddc67ce0bc1bf11b557dfb29db58d01be7b535294c495ad50
